Header,GPSWeek,GPSTime,Heading,Pitch,Roll,gyrox,gyroy,gyroz,accx,accy,accz,Lattitude,Longitude,Altitude,Ve,Vn,Vu,V,NSV1,NSV2,Status,Age,Warming*Cs,
$GPCHC,2125,120045.6,175.71,0.89,6.34,1.36,17.27,-0.85,-0.1571,0.0221,1.4151,32.02825048,118.8562218,28.5,-0.031,0.908,0.083,0.909,22,19,41,1,2*4B,
$GPCHC,2125,120045.8,175.12,2.33,10.7,0.28,12.42,-0.22,-0.2668,0.0586,1.4118,32.02825208,118.8562217,28.49,-0.063,0.858,-0.03,0.86,22,18,41,2,2*50,
$GPCHC,2125,120046,175.13,0.13,-2.41,4.11,19.39,-0.4,0.0592,0.0032,1.407,32.02825371,118.8562216,28.48,-0.032,0.913,-0.114,0.913,22,18,41,2,2*65,
$GPCHC,2125,120046.4,174.91,3.99,-3.08,-6.92,1.4,0.07,0.0832,0.1079,1.5445,32.02825691,118.8562215,28.46,-0.028,0.886,-0.07,0.887,22,18,41,2,2*52,
$GPCHC,2125,120046.8,175.79,7.75,-0.82,5,3.35,-0.11,0.0181,0.1726,1.2674,32.02826008,118.8562213,28.46,-0.013,0.853,-0.028,0.853,21,18,41,3,2*5E,
$GPCHC,2125,120047,176.55,4.48,1.18,-2.49,-3.35,-0.16,-0.0364,0.1388,1.7711,32.02826169,118.8562212,28.45,-0.043,0.879,-0.065,0.88,21,17,41,3,2*54,
$GPCHC,2125,120047.2,175.65,0.66,-0.79,5.95,7.62,-1.22,0.014,0.0117,1.0168,32.02826329,118.8562211,28.45,-0.059,0.872,0.009,0.874,21,18,41,3,2*79,
$GPCHC,2125,120047.4,175.65,7.59,2.12,-4.08,-9.94,0.43,-0.0609,0.2192,1.6443,32.02826488,118.856221,28.44,-0.03,0.898,-0.056,0.898,22,18,41,3,2*7A,
$GPCHC,2125,120047.6,176.13,5.31,-3.42,7.86,1.91,-1.4,0.0648,0.101,1.0848,32.0282665,118.856221,28.45,-0.034,0.878,-0.015,0.878,22,18,41,0,2*5C,
$GPCHC,2125,120047.8,176.13,3.49,11.97,-0.15,-4.75,0.08,-0.2896,0.0853,1.3667,32.02826812,118.8562209,28.45,-0.027,0.91,0.041,0.911,22,18,41,1,2*6C,
$GPCHC,2125,120048,176.16,3.79,9.73,1.51,-2.21,-0.23,-0.1882,0.0738,1.0978,32.02826964,118.8562209,28.46,-0.022,0.837,0.062,0.837,22,18,41,1,2*55,
$GPCHC,2125,120048.4,176.82,-2.09,11.13,-0.6,-2.05,1.47,-0.1388,-0.0263,0.7056,32.02827287,118.8562208,28.44,-0.034,0.881,-0.073,0.882,22,17,41,1,2*44,
$GPCHC,2125,120048.6,176.82,1.92,10.35,-3.17,-3.68,-0.23,-0.1972,0.0367,1.0792,32.02827448,118.8562208,28.43,0.024,0.917,0.077,0.917,22,17,41,0,2*62,
$GPCHC,2125,120048.8,177.05,3.46,10.34,-1.7,-13.2,0.02,-0.1974,0.0665,1.0821,32.02827607,118.8562207,28.43,-0.006,0.899,0.077,0.899,22,18,41,1,2*5A,
